Age,Department,JobRole,Attrition,CareerStage,CareerCluster,HierarchicalCluster,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,SalaryGrowthProxy,PromotionGapRiskScore,PromotionGapRisk,RetentionOpportunityIndex,RetentionOpportunity,TrainingNeedIndicator,ManagerStability
41,Sales,Sales Executive,1,Growth Stage,0,3,0.0,0.6666666666666666,0.0,0.8333333333333334,0.25,22,0.26666666666666666,Low,0.5333333333333333,Medium,Needs Development,Higher Stability
49,Research & Development,Research Scientist,0,Mid Career,0,0,0.1,0.7,0.3,0.7,0.2,46,0.33999999999999997,Medium,0.5700000000000001,Medium,Needs Development,Higher Stability
37,Research & Development,Laboratory Technician,1,Early Career,1,1,0.0,0.0,3.0,0.0,0.14285714285714285,15,0.0,Low,0.1,Low,Adequate,Lower Stability
33,Research & Development,Research Scientist,0,Mid Career,0,3,0.375,0.875,0.375,0.0,0.125,11,0.575,High,0.7375,High,Needs Development,Lower Stability
27,Research & Development,Laboratory Technician,0,Early Career,3,2,1.0,1.0,1.5,1.0,0.16666666666666666,12,1.0,High,0.9500000000000001,High,Adequate,Higher Stability
32,Research & Development,Laboratory Technician,0,Mid Career,3,0,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,0.125,13,0.6571428571428571,High,0.819047619047619,High,Needs Development,Higher Stability
59,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,3.0,0.0,0.08333333333333333,20,0.0,Low,0.1,Low,Adequate,Lower Stability
30,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,2.0,0.0,1.0,22,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
38,Research & Development,Manufacturing Director,0,Mid Career,0,0,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.3,63,0.37777777777777777,Medium,0.6148148148148148,Medium,Needs Development,Higher Stability
36,Research & Development,Healthcare Representative,0,Mid Career,3,2,1.0,1.0,0.42857142857142855,1.0,0.11764705882352941,26,1.0,High,0.9857142857142858,High,Needs Development,Higher Stability
35,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.0,0.8,1.0,0.6,0.16666666666666666,13,0.32000000000000006,Medium,0.5666666666666667,Medium,Adequate,Lower Stability
29,Research & Development,Laboratory Technician,0,Mid Career,0,0,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.2,24,0.22222222222222224,Low,0.4666666666666667,Low,Needs Development,Higher Stability
31,Research & Development,Research Scientist,0,Growth Stage,3,2,0.8,0.4,0.2,0.6,0.2,17,0.64,High,0.6333333333333333,Medium,Needs Development,Lower Stability
34,Research & Development,Laboratory Technician,0,Early Career,3,3,0.5,1.0,1.0,1.0,0.3333333333333333,11,0.7,High,0.8166666666666667,High,Adequate,Higher Stability
28,Research & Development,Laboratory Technician,1,Growth Stage,0,3,0.0,0.5,1.0,0.75,0.16666666666666666,14,0.2,Low,0.4166666666666667,Low,Adequate,Higher Stability
29,Research & Development,Manufacturing Director,0,Mid Career,2,2,0.8,0.9,0.1,0.8,0.3,33,0.8400000000000001,High,0.8866666666666667,High,Needs Development,Higher Stability
32,Research & Development,Research Scientist,0,Growth Stage,0,3,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.14285714285714285,12,0.13333333333333333,Low,0.3388888888888889,Low,Adequate,Higher Stability
22,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,2.0,0.0,1.0,13,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
53,Sales,Manager,0,Senior Career,2,0,0.12,0.32,0.12,0.28,0.12903225806451613,64,0.2,Low,0.392,Low,Needs Development,Lower Stability
38,Research & Development,Research Scientist,0,Growth Stage,0,3,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.16666666666666666,11,0.4666666666666667,Medium,0.6000000000000001,Medium,Adequate,Higher Stability
24,Research & Development,Manufacturing Director,0,Growth Stage,0,3,0.25,0.5,1.25,0.75,0.4,36,0.35,Medium,0.4833333333333333,Low,Adequate,Higher Stability
36,Sales,Sales Representative,1,Growth Stage,0,3,0.0,0.6,0.8,0.6,0.1,23,0.24,Low,0.47333333333333333,Low,Adequate,Lower Stability
34,Research & Development,Research Director,0,Mid Career,2,0,0.16666666666666666,0.5,0.3333333333333333,0.9166666666666666,0.23076923076923078,33,0.3,Medium,0.4888888888888889,Low,Needs Development,Higher Stability
21,Research & Development,Research Scientist,0,Early Career,1,1,0.0,0.0,6.0,0.0,1.0,14,0.0,Low,0.0,Low,Adequate,Lower Stability
34,Research & Development,Research Scientist,1,Growth Stage,0,3,0.25,0.5,0.5,0.75,0.125,11,0.35,Medium,0.5083333333333333,Medium,Adequate,Higher Stability
